name	image_id	face_id	url	bbox	sha256
Sharon Case	28348	12856	http://michaelfairmansoaps.com/wp-content/uploads/2011/07/Sharon-Case-e1309885956285.jpg	34,51,137,154	1ce097b8a16a2ecfce6b70ed2912451f096050d0b5955be412fc2fd4ec803149
Sharon Case	28350	12857	http://perlbal.hi-pi.com/blog-images/127825/gd/1168815391/Sharon-Case.jpg	93,58,220,185	ff2fde0090dcef2bc4692f889a1eea90f4a48fe43c9ae2de615fe2c9e57bf943
Sharon Case	28351	12858	http://images2.fanpop.com/images/photos/4900000/Sharon-Abbott-Sharon-Case-the-young-and-the-restless-4977443-501-376.jpg	296,42,410,156	62f2dccfb953bf34f3c5925390ed9f75aa405d3decdc77c1a9a3866c96695347
Sharon Case	28352	12859	http://ilarge.listal.com/image/3735543/936full-sharon-case.jpg	321,113,540,332	2018ffc653bb42cafe6c239e7802f84edea347819ba1ab1dfa011d55f9214bad
Sharon Case	28353	12860	http://photos.exposay.com/Sharon_Case/sharon_case_0wx2w.jpg	76,145,286,355	3398c5ef8ba2e6ee6ff58f80021a67a5560b3e559753de8d52b0ca4dfe930bd5
Sharon Case	28354	12861	http://www.famousbirthdays.com/headshots/sharon-case-2.jpg	31,97,206,272	0f12605c6b44aa57805935fdaf7d545c0b7187b747ac5964f91fca4bdd2dc556
Sharon Case	28355	12862	http://tolucantimes.info/wp-content/uploads/2010/08/T33-08-Sue-Facter.jpg	384,85,487,188	9a5f6e8fb857d66ee833247506035e88d44888c7fabbfcbb09ff1939bc47cef5
Sharon Case	28356	12863	http://cdn2-b.examiner.com/sites/default/files/styles/image_content_width/hash/2c/cb/2ccbf7edd4b41a3879d019ae80942916.jpg	131,38,234,141	04a5c068c41d28a57b14c327089eb6a449cf42d5ad0627df60f7b8e20eebea3f
Sharon Case	28357	12864	http://hairstyl.ipower.com/celebrityhairstyles/pictures2/Sharon-Case.jpg	58,115,273,330	2bc5570e563e0ffa977fac54d7cc82166f84fdba277bfae74600814595a487fc
Sharon Case	28359	12865	http://lh3.ggpht.com/_gLfeaVZEwNo/S2_6W1_ANmI/AAAAAAAAIpg/F1KB4APGkuE/getty-sharon-case_thumb%25255B3%25255D.jpg	59,85,224,250	a99317dc82bbf5cb0a988375f55e41f4a88a142ac3237f14a09f5e706f5f5b76
Sharon Case	28360	12866	http://www.world-lolo.com/images/uploads/image.num1254981442.of.world-lolo.com.jpeg	111,26,221,136	50711741e4e22a1f652f274b46fa2828c53e0de465628385adc1f72a60c95fdf
Sharon Case	28362	12867	http://www3.pictures.zimbio.com/gi/Sharon%252BCase%252B2011%252BDaytime%252BEmmy%252BAwards%252BNominees%252B2VUm42szEeFl.jpg	324,130,434,240	6ba98fea63687ac858eafd930c25c04042537c712d324b70e2766be720ee0c90
Sharon Case	28364	12868	http://photos.exposay.com/Sharon_Case/sharon_case_BG18u.jpg	68,154,308,394	29ee8bbe1b39921136b26a62c9fe70c3c42622ad576bccad8312030c388bd78d
Sharon Case	28368	12869	http://m.iphotoscrap.com/Image/550/1257403933.jpg	544,617,984,1057	6809208a495e9dff379ed01dcaceb9b64e71829adb21988485d8c0a3e7e8eaa7
